Date;Open;High;Low;Close;Volume;Adj;Close
2010-03-19;25.5;26.2;25.2;25.95;28700;22.12;
2010-03-18;25.5;25.7;25.2;25.5;4300;21.74;
2010-03-17;25.5;26;24.85;25.55;14100;21.78;
2010-03-16;24.7;25.5;24.7;25.15;13000;21.44;
2010-03-15;25.3;25.55;24.5;24.8;8500;21.14;
2010-03-12;26.2;26.35;25.25;25.5;17300;21.74;
2010-03-11;26.7;26.7;26.1;26.35;20100;22.47;
2010-03-10;26.5;27;26.1;26.2;21500;22.34;
2010-03-09;26.5;26.5;26.05;26.1;8800;22.25;
2010-03-08;27.8;29.8;26.3;26.45;33500;22.55;
2010-03-05;26.8;27.5;26.5;26.55;20800;22.64;
2010-03-04;25.8;26.75;25.8;26.55;26500;22.64;
2010-03-03;25.4;26.45;25.4;25.6;91800;21.83;
2010-03-02;23.9;25.35;23.9;25.1;21400;21.4;
2010-02-26;23.4;24.5;23.3;23.8;23300;20.29;
2010-02-25;23.75;24.3;23.6;23.8;17100;20.29;
2010-02-24;24.55;25.25;23.55;23.7;31000;20.21;
2010-02-23;25.7;25.7;24.8;24.85;20300;21.19;
2010-02-22;26.55;26.6;25.25;25.4;12100;21.66;
2010-02-19;26.95;27;25.05;25.25;40000;21.53;
2010-02-18;27.5;27.85;26.7;26.75;18400;22.81;
2010-02-17;27.85;27.9;27.5;27.55;29600;23.49;
2010-02-16;26.9;27.55;26.75;27.4;14700;23.36;
2010-02-15;27.55;27.9;27;27.25;13000;23.23;
2010-02-11;26.75;27.7;26.75;27.35;37800;23.32;
2010-02-10;27.55;27.55;26.5;26.65;22900;22.72;
2010-02-09;27.3;27.9;26.7;26.95;13600;22.98;
2010-02-08;27.25;27.6;26.35;27.15;49000;23.15;
2010-02-05;27.4;27.85;26;26.65;81000;22.72;
2010-02-04;29;30;28.1;28.4;41400;24.21;
2010-02-03;30;30.3;29;29.3;34100;24.98;
2010-02-02;29.55;30.95;29.15;29.35;66400;25.02;
2010-02-01;28;29.75;27.7;29.3;65200;24.98;
2010-01-29;28.2;28.25;26.7;27.4;122700;23.36;
2010-01-28;28.7;29.75;28.3;28.85;90300;24.6;
2010-01-27;30.15;31.7;28;28.25;79100;24.09;
2010-01-26;30.85;30.85;30.85;30.85;0;26.3;
2010-01-25;30;31.2;29.25;30.85;41400;26.3;
2010-01-22;32;32.5;28.6;31.35;139600;26.73;
2010-01-21;34.95;34.95;32.6;32.95;65600;28.09;
2010-01-20;35.5;35.65;33.25;33.7;111400;28.73;
2010-01-19;36.05;37.6;34.8;35.2;225200;30.01;
2010-01-18;34.05;37;34.05;36.5;308600;31.12;
2010-01-15;36;36;33.2;33.9;74100;28.9;
2010-01-14;36;36.5;34.35;34.95;155800;29.8;
2010-01-13;33;35.7;32.15;35.25;306600;30.05;
2010-01-12;35.75;35.75;32.5;33;120800;28.14;
2010-01-11;36;36;34.9;35.05;153600;29.88;
2010-01-08;37;37.1;34.6;35.05;247100;29.88;
2010-01-07;33.85;38.9;33.65;36.7;1881800;31.29;
2010-01-06;33.5;34.5;32.05;33.7;397500;28.73;
2010-01-05;32.4;33.5;31.05;32.65;357400;27.84;
2010-01-04;30.3;32.65;29.9;31;341100;26.43;
2010-01-01;29.5;29.5;29.5;29.5;0;25.15;
2009-12-31;29.75;30.85;29;29.5;159800;25.15;
2009-12-30;26.95;29.9;26.85;29.25;410900;24.94;
2009-12-29;26.95;27.1;26.5;26.75;44100;22.81;
2009-12-28;26.6;26.6;26.6;26.6;0;22.68;
2009-12-25;26.6;26.6;26.6;26.6;0;22.68;
2009-12-24;27.55;27.65;26.45;26.6;52300;22.68;
2009-12-23;27;28.4;26.85;27.1;90100;23.1;
2009-12-22;27.85;27.85;26.55;27.4;26500;23.36;
2009-12-21;28.1;28.25;27.05;27.3;40200;23.28;
2009-12-18;28;28.5;27.15;27.45;104600;23.4;
2009-12-17;28.45;29;27.4;27.85;260400;23.74;
2009-12-16;27.75;28;27.15;27.3;40200;23.28;
2009-12-15;28;29;27.4;27.55;138600;23.49;
2009-12-14;27.25;28.45;27.15;27.4;62800;23.36;
2009-12-11;28.4;28.85;27.75;27.85;80500;23.74;
2009-12-10;28.7;29;28.25;28.4;47800;24.21;
2009-12-09;29.1;29.2;28.7;28.7;39800;24.47;
