Date;Open;High;Low;Close;Volume;Adj;Close
2008-07-18;36.59;37.71;36.59;37.71;300;22.18;
2008-07-17;35.59;38.24;35.59;37.09;1100;21.82;
2008-07-16;35.38;37.94;35.38;37.29;600;21.94;
2008-07-15;37.5;38.79;37.47;38.79;100;22.82;
2008-07-14;38.5;39.62;37.97;38.88;1200;22.87;
2008-07-11;38.35;38.56;38.35;38.53;400;22.66;
2008-07-10;36.47;40;36.47;40;2300;23.53;
2008-07-09;37.09;38.97;37.09;38.97;2800;22.92;
2008-07-08;38.88;38.88;36.76;37.65;3300;22.15;
2008-07-07;37.65;39.41;37.65;38.82;2700;22.84;
2008-07-04;35.29;37.06;35.29;37.06;1900;21.8;
2008-07-03;35.97;38.71;35.97;37.06;4600;21.8;
2008-07-02;35.97;39.94;35.97;38.56;3300;22.68;
2008-07-01;38.32;40.59;36.47;39.38;2700;23.17;
2008-06-30;39.91;39.91;38.82;38.82;800;22.84;
2008-06-27;38.53;40.53;38.38;39.88;300;23.46;
2008-06-26;41.24;41.24;40;40;700;23.53;
2008-06-25;39.29;43.41;39.12;41.18;4300;24.22;
2008-06-24;39.74;40;38.21;38.21;5600;22.47;
2008-06-23;38.97;40.35;38.94;39.68;2000;23.34;
2008-06-20;42.35;42.35;40.59;40.59;3300;23.88;
2008-06-19;42.21;42.35;41.21;42.35;2200;24.91;
2008-06-18;42.76;43.79;42.76;43.09;2000;25.35;
2008-06-17;43.24;43.53;42.12;42.71;800;25.12;
2008-06-16;41.76;44.94;41.76;43.44;6700;25.55;
2008-06-13;43.26;43.91;42.06;42.94;6800;25.26;
2008-06-12;42.26;42.94;41.76;42.44;1300;24.97;
2008-06-11;43.21;43.21;41.65;41.85;2800;24.62;
2008-06-10;41.41;42.94;40.65;40.94;4900;24.08;
2008-06-09;42.65;43.18;40;40.97;8700;24.1;
2008-06-06;45.29;45.29;42.5;42.5;6500;25;
2008-06-05;45.53;46.29;43.56;44.68;1700;26.28;
2008-06-04;46.5;46.5;43.53;43.97;3900;25.87;
2008-06-03;45.29;47.53;45.29;47.21;5300;27.77;
2008-06-02;47.68;50.59;45.59;46.59;16800;27.4;
2008-05-30;47.35;48.76;46.32;48.24;14600;28.37;
2008-05-29;50.38;50.38;47.65;47.85;6200;28.15;
2008-05-28;48.71;49.21;47.18;48.65;9900;28.62;
2008-05-27;49.41;52.35;48.59;48.82;18200;28.72;
2008-05-26;49.24;51.06;48.29;48.56;9100;28.56;
